country,year,imports_usd,exports_usd,currency,observations,avg_rate,start_rate,end_rate,annual_change_pct,volatility_pct,min_rate,max_rate
Nigeria,2017,31270090265.079,44466366757.115,NGN,257,310.0976653696498,305.79,305.23,-0.18313221491873533,1.6335994563718272,305.14,365.71
Nigeria,2018,43011519138.034,62399696340.418,NGN,258,306.8222093023256,305.63,306.34,0.23230703792165297,0.48254117136639724,304.63,311.91
Nigeria,2019,47369076912.28,53617812190.3,NGN,258,306.72972868217056,306.33,305.69,-0.20892501550614506,0.2150798564038674,305.4,310.23
Nigeria,2020,55455401890.467,34900471091.314,NGN,260,357.9334230769231,305.69,384.44,25.76139226013281,1.363704924826824,305.11,385.72
Nigeria,2021,52068286983.145,47231712930.364,NGN,261,400.7445593869732,386.08,412.01,6.716224616659772,0.43472636827703887,380.15,414.09
Nigeria,2022,60671382373.661,63416711381.605,NGN,260,423.6657307692308,414.16,447.44,8.035541819586633,0.20104019987200814,412.29,452.49
Nigeria,2023,65047894217.899,65129007547.867,NGN,257,639.8598054474709,449.82,901.24,100.35569783468942,1.890181727673664,447.95,909.81
Nigeria,2024,40967693021.417,52361700787.283,NGN,259,1479.0002316602317,907.74,1539.41,69.5871064401701,2.426845216181394,874.91,1694.39
Nigeria,2025,44354013636.384,56063265928.563,NGN,315,1513.101111111111,1538.56,1444.71,-6.099859608985014,0.3742070327388201,1435.99,1633.42
Kenya,2015,16058041798.93,5906821405.92,KES,365,98.18906849315069,90.65,102.44,13.006067291781577,0.20770593101685422,90.65,106.03
Kenya,2016,14113435915.77,5697559391.24,KES,366,101.51360655737706,102.41,102.26,-0.1464700712820899,0.0872042708367982,100.51,102.57
Kenya,2017,16690197046.812,5747414819.789,KES,365,103.39087671232876,102.32,103.1,0.762314308053158,0.07362432763078577,102.32,104.02
Kenya,2018,17376721272.03,6050420682.217,KES,365,101.30635616438356,103.16,101.8,-1.3183404420317957,0.10815452451658006,100.05,103.4
Kenya,2019,17210001018.47,5836255973.92,KES,365,101.99739726027398,101.8,101.4,-0.39292730844793233,0.13094744065675715,99.64,104.37
Kenya,2020,15407437140.087,6021954588.7,KES,366,106.4683606557377,101.41,109.39,7.869046445123762,0.1775847961266874,100.4,111.58
Kenya,2021,19594117729.988,6751366221.034,KES,365,109.63641095890411,109.4,113.11,3.3912248628884756,0.1017830190353522,106.57,113.11
Kenya,2022,21100881275.088,7371116494.654,KES,364,117.86282967032967,113.11,123.33,9.03545221465829,0.07596546568682687,113.1,123.34
Kenya,2023,18604452437.681,7158109332.771,KES,365,139.83180821917807,123.35,156.83,27.142278070531024,0.09247308463976503,123.33,156.84
Kenya,2024,20203122341.75,8255797029.967,KES,366,134.7675136612022,156.78,129.14,-17.62979971935197,0.3488495836388733,128.13,162.98
Kenya,2025,,,KES,365,129.09276712328767,129.14,128.86,-0.21681895617157165,0.05967659318517821,128.66,129.85
Uganda,2015,5528117117.0,2267008685.0,UGX,364,3248.949725274725,2781.64,3395.03,22.051379761579515,0.574457728019513,2781.64,3714.99
Uganda,2016,4829459128.0,2482313415.0,UGX,366,3433.344918032787,3394.81,3614.94,6.484309873012051,0.25425815970518933,3325.81,3653.81
Uganda,2017,5595903639.36,2901465679.76,UGX,365,3625.900904109589,3619.68,3642.47,0.6296136675065123,0.11115209049603009,3593.12,3684.34
Uganda,2018,6729436499.55,3087363576.21,UGX,365,3743.367287671233,3646.2,3728.91,2.268389007734073,0.19819614757829912,3635.98,3912.1
Uganda,2019,7696028888.77,3563784978.21,UGX,365,3720.7965479452055,3728.41,3687.6,-1.0945684621594731,0.13342403198754463,3673.76,3791.0
Uganda,2020,8250512382.0,4148958329.0,UGX,366,3734.876666666667,3687.81,3673.11,-0.3986105574853349,0.20223334056639247,3659.05,3920.27
Uganda,2021,9086036680.36,3965317044.55,UGX,365,3603.0810958904112,3675.52,3553.69,-3.314633031516623,0.14711146069709036,3535.11,3726.68
Uganda,2022,9747768913.48,3577444401.67,UGX,365,3706.456630136986,3557.13,3728.78,4.8255194496686915,0.2935589019805427,3500.06,3898.84
Uganda,2023,11780107481.99,6305023286.34,UGX,365,3742.1864383561647,3730.26,3796.52,1.7762836906810797,0.2188548840473621,3626.93,3844.4
Uganda,2024,13832924772.85,8039344375.93,UGX,366,3772.3795355191255,3797.82,3686.08,-2.9422142176301236,0.1798293347891624,3651.51,3964.45
Uganda,2025,,,UGX,365,3610.4047397260274,3687.13,3619.53,-1.8334043009061274,0.22393823538992977,3433.64,3719.9
Tanzania,2015,14705968733.0,5854230521.0,TZS,363,2028.390523415978,1730.16,2160.82,24.8913395292921,0.8085442763079961,1727.76,2322.07
Tanzania,2016,7876086602.0,4741924583.0,TZS,366,2184.3863661202186,2160.82,2172.03,0.518784535500405,0.13830486211871054,2160.21,2202.84
Tanzania,2017,7765411242.0,4178109062.771,TZS,365,2234.5210684931503,2173.58,2232.26,2.699693593058461,0.129305464539884,2173.58,2270.65
Tanzania,2018,8553677024.139,3669212438.537,TZS,365,2273.7896438356165,2233.44,2295.71,2.7880757933949507,0.10193834884898222,2233.44,2306.41
Tanzania,2019,9054671035.44,5003764881.184,TZS,365,2303.1212328767124,2295.33,2298.4,0.13374983117897532,0.09477869020340668,2289.99,2351.3
Tanzania,2020,8516523405.047,6076410130.381,TZS,366,2311.4061202185794,2298.5,2321.47,0.9993474004785563,0.07930128770280077,2294.85,2321.78
Tanzania,2021,10873264133.534,6390862886.744,TZS,365,2311.751232876712,2321.47,2301.85,-0.8451541480182789,0.061499899356469934,2294.71,2323.36
Tanzania,2022,15654447273.284,6824846110.904,TZS,365,2321.5869589041095,2301.86,2328.45,1.1551527894832825,0.09270831761561249,2298.35,2337.94
Tanzania,2023,15117482286.806,7274328787.87,TZS,365,2412.0123561643836,2328.49,2513.86,7.960953235788026,0.1458179209189319,2326.72,2514.7
Tanzania,2024,15684503481.074,8702027903.943,TZS,366,2609.720382513661,2512.65,2420.76,-3.6570950988000672,0.4705697743876956,2324.07,2728.48
Tanzania,2025,,,TZS,365,2549.054794520548,2418.53,2456.47,1.5687214961153995,0.3372710117986322,2415.39,2693.68
South_Africa,2015,85267207335.952,80035689874.235,ZAR,365,12.760927123287672,11.5822,15.531,34.09369549826457,0.5862956506344117,11.3412,15.6282
South_Africa,2016,75149135298.341,75912597473.476,ZAR,366,14.706168306010929,15.5544,13.6997,-11.923957208249746,0.7886436341827646,13.2905,16.8065
South_Africa,2017,83086880674.466,88233218989.624,ZAR,365,13.3146698630137,13.7008,12.3381,-9.946134532290074,0.5630098115980062,12.3381,14.4396
South_Africa,2018,92636961890.609,93677434344.6,ZAR,365,13.245504931506849,12.3385,14.4001,16.708676095149322,0.6322123440811273,11.5759,15.4355
South_Africa,2019,88037490927.971,89395988333.925,ZAR,365,14.448530958904112,14.392,14.0432,-2.4235686492495745,0.487936746012931,13.3117,15.3653
South_Africa,2020,68943156587.84,85226766450.055,ZAR,366,16.459309836065575,14.0404,14.6535,4.366684709837321,0.6197461527455743,14.0355,19.0236
South_Africa,2021,93439563371.935,121321278845.567,ZAR,365,14.783108219178082,14.659,15.9142,8.56265775291629,0.5189665567248526,13.5015,16.1642
South_Africa,2022,111880322479.528,121616282067.877,ZAR,365,16.367355616438356,15.9212,16.9703,6.5893274376303435,0.541567079489319,14.515,18.3858
South_Africa,2023,107122724129.389,110607523884.529,ZAR,365,18.440915616438357,16.9697,18.4393,8.66014131068904,0.5315548561622677,16.8114,19.7493
South_Africa,2024,101178542032.123,110042333524.38,ZAR,366,18.318059289617487,18.4265,18.7907,1.9765012346349087,0.39032509946629007,17.1405,19.2845
South_Africa,2025,104948634605.015,116380900756.916,ZAR,365,17.87463726027397,18.809,16.5892,-11.801797012068683,0.3650477587926681,16.5892,19.6277
